doc_id,pdf_url,entry_type,name_normalised,sector,country,region,year_start,year_end,title_raw
afrique-du-nord-perez-et-coudert-7504e1,https://entreprises-coloniales.fr/afrique-du-nord/Perez_et_Coudert.pdf,company,Établissements Pérez et Coudert,Industries agro-alimentaires,Maroc,Maroc,1926,,"Pérez et Coudert (Établissements)(S.A., 1926), Fès : minoterie, pâtes Le Coq gaulois, huile d'olive, glacière"
afrique-du-nord-petit-casablancais-186e45,https://entreprises-coloniales.fr/afrique-du-nord/Petit_Casablancais.pdf,company,Le Petit Casablancais,"Imprimerie, presse, édition",Maroc,Maroc,,,Petit Casablancais (Le)
afrique-du-nord-petroles-de-l-oued-beth-e2d432,https://entreprises-coloniales.fr/afrique-du-nord/Petroles_de_l_Oued_Beth.pdf,company,Compagnie des Pétroles de l’Oued Beth,Pétrole et gaz,Maroc,Maroc,,,Pétroles de l’Oued Beth (Compagnie des)
afrique-du-nord-petroles-du-zerhoun-3be569,https://entreprises-coloniales.fr/afrique-du-nord/Petroles_du_Zerhoun.pdf,company,Société de recherches et forages des Pétroles du Zérhoun,Pétrole et gaz,Maroc,Maroc,,,Pétroles du Zérhoun (Société de recherches et forages des)
afrique-du-nord-phosphates-au-maroc-581a6c,https://entreprises-coloniales.fr/afrique-du-nord/Phosphates_au_Maroc.pdf,company,Société d'études et de recherches du traitement des Phosphates au Maroc,Industries chimiques,Maroc,Maroc,1923,1929,Phosphates au Maroc (Société d'études et de recherches du traitement des)(1923-1929)
afrique-du-nord-pigier-maroc-03c1c7,https://entreprises-coloniales.fr/afrique-du-nord/Pigier-Maroc.pdf,company,Pigier au Maroc,Enseignement,Maroc,Maroc,,,Pigier au Maroc
afrique-du-nord-pointerie-africaine-casa-9b39f7,https://entreprises-coloniales.fr/afrique-du-nord/Pointerie_africaine-Casa.pdf,company,Pointerie africaine,Industries diverses,Maroc,Maroc,1950,,"Pointerie africaine (1950), Casablanca"
afrique-du-nord-poliet-chausson-maroc-77a79c,https://entreprises-coloniales.fr/afrique-du-nord/Poliet+Chausson_Maroc.pdf,company,Poliet et Chausson-Maroc,"Bâtiment et travaux publics, matériaux de construction, céramique",Maroc,Maroc,1927,1940,Poliet et Chausson-Maroc (1927-1940)
afrique-du-nord-port-de-casablanca-016b35,https://entreprises-coloniales.fr/afrique-du-nord/Port_de_Casablanca.pdf,company,Port de Casablanca,"Transports maritimes, fluviaux et aériens",Maroc,Maroc,,,Port de Casablanca
afrique-du-nord-port-de-fedhala-e16912,https://entreprises-coloniales.fr/afrique-du-nord/Port_de_Fedhala.pdf,company,Compagnie du Port de Fedhala,"Transports maritimes, fluviaux et aériens",Maroc,Maroc,,,Port de Fedhala (Compagnie du)
afrique-du-nord-port-de-mogador-222b0f,https://entreprises-coloniales.fr/afrique-du-nord/Port_de_Mogador.pdf,company,Port de Mogador,"Transports maritimes, fluviaux et aériens",Maroc,Maroc,,,Port de Mogador
afrique-du-nord-port-de-tanger-soc-2e41f1,https://entreprises-coloniales.fr/afrique-du-nord/Port_de_Tanger_Soc.pdf,company,Société du Port de Tanger,"Transports maritimes, fluviaux et aériens",Maroc,Maroc,,,Port de Tanger (Société du)
afrique-du-nord-ports-mehedya-et-rabat-ec71cb,https://entreprises-coloniales.fr/afrique-du-nord/Ports_Mehedya_et_Rabat.pdf,company,Société des Ports marocains de Mehedya-Kenitra et Rabat-Salé,"Transports maritimes, fluviaux et aériens",Maroc,Maroc,,,Ports marocains de Mehedya-Kenitra et Rabat-Salé (Société des)
afrique-du-nord-prod-chim-f-1920-1930-d5b2d8,https://entreprises-coloniales.fr/afrique-du-nord/Prod._chim._F._1920-1930.pdf,company,Produits chimiques de France à Saint-Denis,"Banques, groupes financiers, assureurs",Maroc,Maroc,1920,1930,Produits chimiques de France (1920-1930)(Anc. Produits chimiques A.G. Gros) à Saint-Denis (Seine)
afrique-du-nord-prod-chim-f-blancs-comines-27d745,https://entreprises-coloniales.fr/afrique-du-nord/Prod._chim._F-blancs_Comines.pdf,company,Produits chimiques de France & Blancs de Comines,"Banques, groupes financiers, assureurs",Maroc,Maroc,1931,,Produits chimiques de France & Blancs de Comines (1931- )
afrique-du-nord-prod-chim-phosphates-afn-c1952a,https://entreprises-coloniales.fr/afrique-du-nord/Prod._chim.-phosphates_AFN.pdf,company,"Cie des Phosphates de l'Afrique du Nord, puis Produits chimiques et phsphates de l'Afrique du Nord, puis Pétroles, Produits chimiques et phosphates et, à nouveau, Phosphates de l'Afrique du Nord","Banques, groupes financiers, assureurs",Maroc,Maroc,,,"Phosphates de l'Afrique du Nord (Cie des), puis Produits chimiques et phsphates de l'Afrique du Nord, puis Pétroles, Produits chimiques et phosphates et, à nouveau, Phosphates de l'Afrique du Nord"
afrique-du-nord-qui-etes-vous-1924-maroc-0164e8,https://entreprises-coloniales.fr/afrique-du-nord/Qui_etes-vous_1924-Maroc.pdf,source_document,Qui êtes-vous ? 1924,Documents généraux (par ordre chronologique),Maroc,Maroc,,,Qui êtes-vous ? 1924 : Maroc. Notices complétées et mises à jour.
afrique-du-nord-ras-el-ma-fez-8d0c89,https://entreprises-coloniales.fr/afrique-du-nord/Ras-el-Ma-Fez.pdf,company,Societe de Ras-el-Ma,Industries agro-alimentaires,Maroc,Maroc,,,"Ras-el-Ma (Societe de), Fez"
afrique-du-nord-rec-1910-maroc-5bc706,https://entreprises-coloniales.fr/afrique-du-nord/REC_1910-Maroc.pdf,source_document,Répertoire des entreprises coloniales 1910,Documents généraux (par ordre chronologique),Maroc,Maroc,,,Répertoire des entreprises coloniales 1910 : Maroc
afrique-du-nord-rech-min-frses-col-f910fd,https://entreprises-coloniales.fr/afrique-du-nord/Rech._min._frses+col.pdf,company,Société Recherches minières françaises et coloniales et d'entreprises,Mines,Maroc,Maroc,,,"Recherches minières françaises et coloniales et d'entreprises (Société) : manganèse, fer…"
afrique-du-nord-recherches-forages-34ca15,https://entreprises-coloniales.fr/afrique-du-nord/Recherches_&_forages.pdf,company,"Société de Recherches et de forages, puis S.A. de gérance des bruttos de la Société de recherches et de forages",Pétrole et gaz,Maroc,Maroc,1916,1925,"Recherches et de forages (Société de)(1916-1925), puis S.A. de gérance des bruttos de la Société de recherches et de forages"
afrique-du-nord-renot-cie-kenitra-e7a95a,https://entreprises-coloniales.fr/afrique-du-nord/Renot_&_Cie-Kenitra.pdf,company,Rénot & Cie,Commerce,Maroc,Maroc,,,"Rénot & Cie, Kénitra : commerce de laines et céréales"
afrique-du-nord-rharb-et-khlot-f5629e,https://entreprises-coloniales.fr/afrique-du-nord/Rharb_et_Khlot.pdf,company,Rharb et Khlot,Industries agro-alimentaires,Maroc,Maroc,1910,,"Rharb et Khlot (S.A., 1910)"
afrique-du-nord-richard-heckmann-1893-1914-704a1a,https://entreprises-coloniales.fr/afrique-du-nord/Richard_Heckmann-1893-1914.pdf,company,"Heckmann, Alger, Tunis, Casablanca… Agent maritime, armateur, voyagiste","Transports maritimes, fluviaux et aériens",Maroc,Maroc,1893,1914,"Heckmann (Richard)(1893-1914), Alger, Tunis, Casablanca… Agent maritime, armateur, voyagiste"
afrique-du-nord-rizima-023e91,https://entreprises-coloniales.fr/afrique-du-nord/Rizima.pdf,company,Société de Riziculture et industries agricoles au Maroc,Industries agro-alimentaires,Maroc,Maroc,,,Riziculture et industries agricoles au Maroc (Société de)(Rizima)
afrique-du-nord-roannaise-fermes-afn-f646a3,https://entreprises-coloniales.fr/afrique-du-nord/Roannaise_Fermes_AFN.pdf,company,Société Roannaise des Fermes de l'Afrique du Nord,Industries agro-alimentaires,Maroc,Maroc,,,Roannaise des Fermes de l'Afrique du Nord (Société)
afrique-du-nord-rotisserie-reine-pedauque-56aa6a,https://entreprises-coloniales.fr/afrique-du-nord/Rotisserie_reine_Pedauque.pdf,company,Rôtisserie de la reine Pédauque,"Hôtellerie, tourisme, tourisme",Maroc,Maroc,,,"Rôtisserie de la reine Pédauque, Casablanca"
