person_id,surname,name_variants,n_companies,n_board_companies,n_observations,top_role,first_year,last_year,sectors
godard-l,Godard,L. Godard; Louis Godard,31,29,64,administrateur,1913,1958,"Banques, groupes financiers, assureurs; Bâtiment et travaux publics, matériaux de construction, céramique; Commerce; Documents généraux (par ordre chronologique); Eau, gaz, électricité (Utilities); Filière bois : exploitation forestière, meubles, cellulose, papier…; Industries agro-alimentaires; Sociétés foncières et immobilières; Transports maritimes, fluviaux et aériens; Transports terrestres, garages automobiles et agricoles"
atthalin-a,Atthalin,A. Atthalin; André Atthalin,28,28,67,administrateur,1913,1958,"Banques, groupes financiers, assureurs; Bâtiment et travaux publics, matériaux de construction, céramique; Documents généraux (par ordre chronologique); Eau, gaz, électricité (Utilities); Industries agro-alimentaires; Transports terrestres, garages automobiles et agricoles"
gradis-g,Gradis,G. Gradis; Gaston Gradis,24,24,35,administrateur,1922,1969,"Banques, groupes financiers, assureurs; Commerce; Documents généraux (par ordre chronologique); Industries agro-alimentaires; Mines"
roudy-a,Roudy,A. Roudy; Anathase Roudy; Athanase Roudy; ROUDY 2; Roudy,21,21,53,administrateur,1913,1969,"Banques, groupes financiers, assureurs; Bâtiment et travaux publics, matériaux de construction, céramique; Documents généraux (par ordre chronologique); Eau, gaz, électricité (Utilities); Industries agro-alimentaires; Transports terrestres, garages automobiles et agricoles"
epinat-j,Épinat,J. Epinat; J. Épinat; Jean Épinat; Épinat,20,20,35,administrateur,1920,1966,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique); Mines; Sociétés foncières et immobilières; Transports maritimes, fluviaux et aériens; Transports terrestres, garages automobiles et agricoles"
piot-m,Piot,Maurice Piot,19,19,48,administrateur,1913,1958,"Banques, groupes financiers, assureurs; Commerce; Documents généraux (par ordre chronologique); Hôtellerie, tourisme, tourisme; Industries agro-alimentaires; Sociétés foncières et immobilières; Transports maritimes, fluviaux et aériens"
gompel-r-robert,Gompel,Robert Gompel; Robert-Gabriel Gompel,19,19,40,administrateur,1913,1938,"Banques, groupes financiers, assureurs; Bâtiment et travaux publics, matériaux de construction, céramique; Documents généraux (par ordre chronologique); Industries agro-alimentaires; Sociétés foncières et immobilières"
hersent-g-georges,Hersent,Georges Hersent,16,16,37,administrateur,1912,1958,"Banques, groupes financiers, assureurs; Bâtiment et travaux publics, matériaux de construction, céramique; Documents généraux (par ordre chronologique); Hôtellerie, tourisme, tourisme; Industries agro-alimentaires; Industries chimiques; Sociétés foncières et immobilières; Transports maritimes, fluviaux et aériens; Transports terrestres, garages automobiles et agricoles"
katz-m,Katz,Max Katz; Maxime Katz,17,16,36,administrateur,1913,1938,"Banques, groupes financiers, assureurs; Bâtiment et travaux publics, matériaux de construction, céramique; Documents généraux (par ordre chronologique); Industries agro-alimentaires"
ledoux-f,Ledoux,F. Ledoux; Frédéric Ledoux,16,16,28,administrateur,1913,1969,Commerce; Documents généraux (par ordre chronologique); Industries agro-alimentaires; Industries chimiques; Mines
berti-v,Berti,V. Berti; Victor Berti,15,15,39,administrateur,1922,1969,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique); Industries agro-alimentaires; Mines; Sociétés foncières et immobilières; Transports maritimes, fluviaux et aériens; Transports terrestres, garages automobiles et agricoles"
de-caqueray-g,de Caqueray,Gaston de Caqueray; Gaston-Marie-Joseph de Caqueray,14,14,32,administrateur,1913,1969,"Banques, groupes financiers, assureurs; Bâtiment et travaux publics, matériaux de construction, céramique; Documents généraux (par ordre chronologique); Eau, gaz, électricité (Utilities); Industries agro-alimentaires; Mines; Transports maritimes, fluviaux et aériens"
massena-a,Massena,A. Massena; A. Masséna; André Massena; André Masséna; Masséna,14,14,23,administrateur,1913,1969,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique); Industries agro-alimentaires; Industries chimiques; Transports maritimes, fluviaux et aériens; Transports terrestres, garages automobiles et agricoles"
hersent-j,Hersent,J. Hersent; J.-B. Hersent; Jean Hersent,13,13,31,administrateur,1912,1954,"Documents généraux (par ordre chronologique); Industries agro-alimentaires; Industries diverses; Sociétés foncières et immobilières; Transports maritimes, fluviaux et aériens"
