company_key,company_name,attribute,value,year,source_ref,doc_id
abrifamilialoranais,L'Abri familial oranais,head_office,"23, rue El-Moungar, Oran",,,afrique-du-nord-abri-familial-oranais-320b63
abrifamilialoranais,L'Abri familial oranais,head_office,"est fixé à Oran, rue El-Moungar, no 23",1928,"L'Écho d'Oran, 17 février 1928",afrique-du-nord-abri-familial-oranais-320b63
acconagealgerien,Compagnie d'Acconage algérien,capital,400.000 fr.,1910,"Cote de la Bourse et de la banque, 30 mai 1910",afrique-du-nord-acconage-algerien-842cdf
acconagealgerien,Compagnie d'Acconage algérien,head_office,"Paris, 37, bd Haussmann, et siège",1910,"Cote de la Bourse et de la banque, 30 mai 1910",afrique-du-nord-acconage-algerien-842cdf
acconagecharbonnagejullian,Société d'Acconage et de charbonnage Jullian,head_office,"est à Paris. Le capital est fixé à 2 millions, en actions de 1.000 fr., sur",1920,"Le Sémaphore algérien, 10 novembre 1920",afrique-du-nord-acconage-charbonnage-jullian-261090
africaineculturesindustrielles,Compagnie Africaine de cultures industrielles,capital,700.000 fr.,,,afrique-du-nord-africaine-cultures-indus-82471f
africaineculturesindustrielles,Compagnie Africaine de cultures industrielles,head_office,"Alger, villa Stéphan, chemin Yusuf",1922,"L’Écho d’Alger, 12 juillet 1922",afrique-du-nord-africaine-cultures-indus-82471f
africaineculturesindustrielles,Compagnie Africaine de cultures industrielles,capital,6.400.000 fr.,1926,Annuaire des valeurs de l’Afrique du Nord 1926,afrique-du-nord-africaine-cultures-indus-82471f
africainetravaux,Société Africaine de Travaux,head_office,"Alger, 28, boulevard Carnot",,,afrique-du-nord-africaine-de-travaux-d104a1
africainetravaux,Société Africaine de Travaux,head_office,est à Alger,1924,"La Journée industrielle, 13 août 1924",afrique-du-nord-africaine-de-travaux-d104a1
africainetravaux,Société Africaine de Travaux,head_office,"10, rue Schneider, Oran",1930,"L'Écho d'Oran, 28 août 1930",afrique-du-nord-africaine-de-travaux-d104a1
africainetravaux,Société Africaine de Travaux,head_office,social,1937,"BALO, 19 juillet 1937",afrique-du-nord-africaine-de-travaux-d104a1
africaineliegealgerhusseindeyazazga,"Compagnie Africaine du Liège, Alger, Hussein-Dey, Azazga",head_office,Alger. Objet : groupement des principaux intérêts de l'industrie du liège dans,1929,"La Journée industrielle, 6 octobre 1929",afrique-du-nord-africaine-liege-alger-71b003
africaineliegealgerhusseindeyazazga,"Compagnie Africaine du Liège, Alger, Hussein-Dey, Azazga",head_office,"Alger, 6",1929,"L’Écho d’Alger, 20 octobre 1929",afrique-du-nord-africaine-liege-alger-71b003
africaineliegealgerhusseindeyazazga,"Compagnie Africaine du Liège, Alger, Hussein-Dey, Azazga",capital,100.000.000 francs,1930,"L’Écho d’Alger, 10 juillet 1930",afrique-du-nord-africaine-liege-alger-71b003
africaineliegealgerhusseindeyazazga,"Compagnie Africaine du Liège, Alger, Hussein-Dey, Azazga",head_office,"est à Alger, 6, bd Baudin, le fonds de commerce et",1930,"L’Écho d’Alger, 10 juillet 1930",afrique-du-nord-africaine-liege-alger-71b003
africaineliegealgerhusseindeyazazga,"Compagnie Africaine du Liège, Alger, Hussein-Dey, Azazga",capital,100.000.000 francs,1931,"L’Écho de Bougie, 21 juin 1931",afrique-du-nord-africaine-liege-alger-71b003
africaineliegealgerhusseindeyazazga,"Compagnie Africaine du Liège, Alger, Hussein-Dey, Azazga",head_office,"est à Alger, boulevard Baudin, no 6, a effectué",1931,"L’Écho de Bougie, 21 juin 1931",afrique-du-nord-africaine-liege-alger-71b003
